Date,Reported Cause of Incident,cause_sub ,State,County,Operator ID,Operator Name,System Type,Report ID,Fatalities,Injuries,Cost_Reported,Total Cost Current Year Dollars,b_spilled,b_lost
01/01/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,TX,ROBERTSON,400,AMERICAN PETROFINA PIPELINE CO,HAZARDOUS LIQUID,19990012,0,0,475000,700896,50,47
01/02/1999,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,OR,UMATILLA,13845,NORTHWEST PIPELINE LLC,GAS TRANSMISSION,19990041,0,0,500000,737785,0,0
01/03/1999,ALL OTHER CAUSES,MISCELLANEOUS,AR,JEFFERSON,6856,"KOCH PIPELINE COMPANY, L.P. AMMONIA",HAZARDOUS LIQUID,19990013,0,0,0,0,1,1
,CORROSION,UNSPECIFIED CORROSION,VA,WYTHE,20211,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),GAS DISTRIBUTION,19990043,0,0,500000,737785,0,0
,EXCAVATION DAMAGE,UNSPECIFIED EXCAVATION DAMAGE,VA,WYTHE,4070,"EAST TENNESSEE NATURAL GAS, LLC (SPECTRA ENERGY PARTNERS, LP)",GAS TRANSMISSION,19990063,0,0,125000,184446,0,0
01/07/1999,CORROSION,UNSPECIFIED CORROSION,PA,LACKAWANNA,15259,UGI PENN NATURAL GAS,GAS DISTRIBUTION,19990032,0,1,105000,154935,0,0
01/08/1999,CORROSION,INTERNAL,TX,DUVAL,22855,"FLINT HILLS RESOURCES, LC",HAZARDOUS LIQUID,19990026,0,0,0,0,"10,500",10430
01/11/1999,ALL OTHER CAUSES,MISCELLANEOUS,GA,COFFEE,3510,"DOUGLAS GAS DEPT, CITY OF",GAS DISTRIBUTION,19990036,0,0,50000,73779,0,0
,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,CA,LOS ANGELES,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",HAZARDOUS LIQUID,19990021,0,0,55000,81156,60,14
01/13/1999,ALL OTHER CAUSES,MISCELLANEOUS,NY,KINGS,1800,KEYSPAN ENERGY DELIVERY - NY CITY,GAS DISTRIBUTION,19990060,0,2,0,0,0,0
,,,TX,POLK,20245,MIDCON TEXAS PIPELINE CORP.,GAS TRANSMISSION,19990062,0,0,200000,295114,0,0
01/15/1999,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,AZ,MARICOPA,18536,SOUTHWEST GAS CORP,GAS DISTRIBUTION,19990030,0,0,66500,98125,0,0
,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,MI,,2748,CONSUMERS ENERGY CO,GAS DISTRIBUTION,19990049,1,0,0,0,0,0
01/16/1999,CORROSION,EXTERNAL,WI,DOUGLAS,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HAZARDOUS LIQUID,19990022,0,0,365000,538583,130,100
01/17/1999,ALL OTHER CAUSES,MISCELLANEOUS,LA,,19730,TRUNKLINE GAS CO,GAS TRANSMISSION,19990040,0,0,50000,73779,0,0
