Commodity,Operator ID,name,Intrastate Miles,Intrastate HCA Miles,Interstate Miles,Interstate HCA Miles,miles,Miles of Gathering,Interstate Tanks,Intrastate Tanks,tanks
REFINED PP,22610,"MAGELLAN PIPELINE COMPANY, LP",27.2,27.18,"9,069.30","3,899.22",9097,0,592,2,594
REFINED PP,2552,COLONIAL PIPELINE CO,,,"5,600.10","4,398.43",5600,0,517,0,517
REFINED PP,1845,"BUCKEYE PARTNERS, LP",9.7,8.35,"6,212.70","3,829.55",6222,0,502,11,513
REFINED PP,15674,PLANTATION PIPE LINE CO,,,"3,172.10","2,561.96",3172,0,207,0,207
REFINED PP,32147,MARATHON PIPE LINE LLC,143.8,129.8,"3,302.40","2,131.30",3446,0,200,3,203
REFINED PP,31684,PHILLIPS 66 PIPELINE LLC,411.2,291.89,"3,827.40","1,888.25",4239,0,195,19,214
CRUDE OIL,26085,"PLAINS MARKETING, L.P.",442.9,110.39,2.3,0.77,445,25.3,138,71,209
REFINED PP,4805,EXPLORER PIPELINE CO,,,"1,836.90","1,346.31",1837,0,137,0,137
CRUDE OIL,300,"PLAINS PIPELINE, L.P.","4,503.00",639.51,"4,847.60","1,306.47",9351,101.1,135,119,254
REFINED PP,18718,SUNOCO PIPELINE L.P.,877.2,324.21,"1,229.70",909.05,2107,0,125,10,135
REFINED PP,31618,ENTERPRISE PRODUCTS OPERATING LLC,711.3,395.84,316.7,189.35,1028,0,122,52,174
REFINED PP,18092,"SFPP, LP","1,056.30",646.18,"1,788.30","1,124.35",2845,0,102,41,143
CRUDE OIL,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",,,"4,367.00","2,120.13",4367,0,99,0,99
CRUDE OIL,32147,MARATHON PIPE LINE LLC,203.8,140.2,"2,066.10","1,465.10",2270,0,92,2,94
CRUDE OIL,39145,ENBRIDGE STORAGE (CUSHING) L.L.C.,,,,,,,82,0,82
CRUDE OIL,30829,ENTERPRISE CRUDE PIPELINE LLC,"1,188.80",253.07,"2,021.20",721.25,3210,0,81,95,176
CRUDE OIL,31684,PHILLIPS 66 PIPELINE LLC,706.3,460.8,"2,048.70",518.58,2755,34.6,78,36,114
CRUDE OIL,39706,SUNOCO PARTNERS MARKETING & TERMINALS LP,,,,,,,74,0,74
CRUDE OIL,31580,"MAGELLAN TERMINALS HOLDINGS, LP",13.9,13.86,11.9,0.41,26,0,73,25,98
REFINED PP,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,6.8,5.7,"2,295.40",858,2302,0,72,0,72
CRUDE OIL,18718,SUNOCO PIPELINE L.P.,"2,003.90",663.59,"1,340.10",464.87,3344,212.1,70,58,128
REFINED PP,31174,"SHELL PIPELINE CO., L.P.",181.2,135.6,176.4,148,358,0,67,80,147
CRUDE OIL,31174,"SHELL PIPELINE CO., L.P.",476.9,288.8,"2,119.70",697.7,2597,22.8,60,77,137
CRUDE OIL,12470,MID - VALLEY PIPELINE CO,,,"1,114.40",650.47,1114,0,55,0,55
HVL FLAMM TOXIC,31684,PHILLIPS 66 PIPELINE LLC,"1,137.60",506.85,"3,263.20",759.3,4401,0,48,0,48
CRUDE OIL,31720,"EXPRESS HOLDINGS (USA), LLC",,,"1,453.60",442.54,1454,0,46,0,46
CRUDE OIL,39504,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",117.2,116.34,475.9,117.73,593,0,41,1,42
